hash,expected_nbits,parent_mtp,coinbase_height,coinbase_scriptsig_hex,pool,parent_kind
0000000000000000000045c5040bf46b4cd6c6f8f4004c149cd602e4e356e71c,170b8c8b,,717696,0380f30a192f5669614254432f4d696e656420627920657373696265742f2cfabe6d6dc0edbc53e6583117e3fb0c174156ff34a95f1a1093bb03192bdd8b47f896cb9f10000000000000001071ffd417d8ab2bd883332eb005000000,ViaBTC,canonical
000000000000000000006840568a01091022093a176d12a1e8e5e261e4f11853,,,809478,03065a0c04ed4913652f4d41524120506f6f6c202876303932363233292f76649b3c094f135bf4b83108c14ea85f127ebfce0f004e020000ffffffff,MARA Pool,canonical
00000000000000000000c3d95a4bdc068dfe0c6d1e7ad13045c6f570e58d9ed7,17021369,1776870621,946213,0325700e2cfabe6d6d07a206acc4d465037a85ceac8a1903f27526149e57a46fc1edbb6a7c67320d4f10000000f09f909f092f4632506f6f6c2f670000000000000000000000000000000000000000000000000000000000000000000000050095000000,F2Pool,canonical
0000000000000000000198e12592edbe83c84a78f75b3f8d67a3fe2075ef2ffb,1702369d,1783900280,957780,03549d0e2cfabe6d6db72b2e8a573b09f5d46aad91f9214fabcdcccd69a9b172992099d95e393da9cc10000000f09f909f092f4632506f6f6c2f6700000000000000000000000000000000000000000000000000000000000000000000000500580a0200,F2Pool,canonical
0000000000000000000291349d44e756df07ce08d848df0ca0bbd9884af393ed,1705dd01,,789039,032f0a0c1b4d696e656420627920416e74506f6f6c383733e2000002b5eac7d7fabe6d6df30ef030508734cec49b1d7ddbe98a52a2f7ad5986eac10cd313f0c6dbb46d6d0200000000000000000024c9610e000000000000,AntPool,canonical
00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,,,783426,0342f40b2cfabe6d6d76eebeccd7ca22e72d1f7c18b9a3ae8c3f93c04072e77b94dfcf0f0dd560be4410000000f09f909f092f4632506f6f6c2f66000000000000000000000000000000000000000000000000000000000000000000000005007c000000,F2Pool,canonical
000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,,,784121,03f9f60b2cfabe6d6df25b386d041b6a6ecf202e73afd2bf8d3422cb2f6e9c9975fdc4c37a958136fd10000000f09f909f092f4632506f6f6c2f730000000000000000000000000000000000000000000000000000000000000000000000050045010000,F2Pool,canonical
00000000000000000008c80c1f8c101f8aa1fabd59d63ab1350bd1d5dba425e6,170e92aa,,,fecae9090048617468185a489434ae20d115d61694f7ca019160c1be165bace94440d705171e1b871bb876a249290000000000,,canonical
0000000000000000000c958fe3563e7e3ecda8e35e6d6ecce4d5693cec1f1918,17275a1f,,543804,033c4c08045623b15b622f4254432e434f4d2ffabe6d6dee6689d8fa713e1a935e1b03dd664008ac0a74b753d03c527f6d25800e82299a0100000000000000fc00cfe8cc4d000000000000,BTC.COM,canonical
000000000000000000188a6aecb603cb6a068ad236f925255a491124b5c5dc8a,1725c191,,544600,03584f08042c8bb85b622f4254432e434f4d2ffabe6d6d88922b0299a396056945229bf094718c1388b6df2c4560845fa027e8942ca65d0100000000000000fd0069592843000000000000,BTC.COM,canonical
0000000000000000001ac59b46b44a9e525bc03a5cd2e138a8ae684445fa6ed8,17275a1f,,544024,03184d0804c9fab25b612f4254432e434f4d2ffabe6d6dcea0fda9be365f0d78b66072ae5cf48ed7cb6338df96d4a951f49bcc9641a6710100000000000000fb0136c12081000000000000,BTC.COM,canonical
