hash,channel,source,child_chain,child_height,first_seen,provenance
0000000000000000000045c5040bf46b4cd6c6f8f4004c149cd602e4e356e71c,auxpow,merge-mining-research,emercoin,518861,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000045c5040bf46b4cd6c6f8f4004c149cd602e4e356e71c,auxpow,merge-mining-research,syscoin,1336057,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
000000000000000000006840568a01091022093a176d12a1e8e5e261e4f11853,p2p,b10c,,,,https://b10c.me/observations/07-invalid-block-809478/
00000000000000000000c3d95a4bdc068dfe0c6d1e7ad13045c6f570e58d9ed7,auxpow,merge-mining-research,elastos,2196610,1776876260,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
00000000000000000000c3d95a4bdc068dfe0c6d1e7ad13045c6f570e58d9ed7,auxpow,merge-mining-research,namecoin,821553,1776876260,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
00000000000000000000c3d95a4bdc068dfe0c6d1e7ad13045c6f570e58d9ed7,auxpow,merge-mining-research,syscoin,2226227,1776876260,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000198e12592edbe83c84a78f75b3f8d67a3fe2075ef2ffb,auxpow,merge-mining-research,elastos,2255118,1783902407,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000198e12592edbe83c84a78f75b3f8d67a3fe2075ef2ffb,auxpow,merge-mining-research,fractal,1936022,1783902407,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000198e12592edbe83c84a78f75b3f8d67a3fe2075ef2ffb,auxpow,merge-mining-research,namecoin,833329,1783902407,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000198e12592edbe83c84a78f75b3f8d67a3fe2075ef2ffb,auxpow,merge-mining-research,syscoin,2272433,1783902407,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000291349d44e756df07ce08d848df0ca0bbd9884af393ed,auxpow,merge-mining-research,namecoin,664459,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000291349d44e756df07ce08d848df0ca0bbd9884af393ed,auxpow,merge-mining-research,rsk,5287383,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,auxpow,merge-mining-research,elastos,1395837,1680334281,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,auxpow,merge-mining-research,namecoin,658973,1680334281,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,auxpow,merge-mining-research,syscoin,1590668,1680334281,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,auxpow,merge-mining-research,xaya,4720941,1680334281,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,p2p,b10c,,,,https://b10c.me/observations/11-invalid-blocks-783426-and-784121/
000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,auxpow,merge-mining-research,elastos,1399199,1680742574,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,auxpow,merge-mining-research,namecoin,659651,1680742574,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,auxpow,merge-mining-research,syscoin,1593384,1680742574,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,auxpow,merge-mining-research,xaya,4733918,1680742574,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/body_invalid_stales.csv
000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,p2p,b10c,,,,https://b10c.me/observations/11-invalid-blocks-783426-and-784121/
00000000000000000008c80c1f8c101f8aa1fabd59d63ab1350bd1d5dba425e6,auxpow,merge-mining-research,hathor,756587,1600895133,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000c958fe3563e7e3ecda8e35e6d6ecce4d5693cec1f1918,auxpow,merge-mining-research,namecoin,419550,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000000c958fe3563e7e3ecda8e35e6d6ecce4d5693cec1f1918,auxpow,merge-mining-research,rsk,789982,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
000000000000000000188a6aecb603cb6a068ad236f925255a491124b5c5dc8a,auxpow,merge-mining-research,namecoin,420338,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
000000000000000000188a6aecb603cb6a068ad236f925255a491124b5c5dc8a,auxpow,merge-mining-research,rsk,804553,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000001ac59b46b44a9e525bc03a5cd2e138a8ae684445fa6ed8,auxpow,merge-mining-research,namecoin,419759,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000001ac59b46b44a9e525bc03a5cd2e138a8ae684445fa6ed8,auxpow,merge-mining-research,rsk,793596,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000001ffb5988298bfc9f528f9a47e6062ebe8a01177af25d21,auxpow,merge-mining-research,namecoin,419757,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
0000000000000000001ffb5988298bfc9f528f9a47e6062ebe8a01177af25d21,auxpow,merge-mining-research,rsk,793505,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
00000000000000000254ed1e8143f0bcd3c3564db07e7c35631e999d53e81fa7,auxpow,merge-mining-research,namecoin,296773,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
00000000000000000306ea979ad487157d2950081413eb9d2dca82060f1b89b2,auxpow,merge-mining-research,namecoin,263217,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
000000000000000003a1ce220ae97419cc4bdb5d70b90189b8f8a06b0b37e3a2,auxpow,merge-mining-research,namecoin,276713,,https://github.com/deadmanoz/merge-mining-research/blob/main/data/error-blocks/error_blocks.csv
